lat,lon,alt,time
0.0,59.89211,12.85195,19210.424
1.0,59.900314,12.8375845,19229.994
2.0,59.90628,12.839341,19291.959
3.0,59.906174,12.835408,19181.17
4.0,59.90939,12.829237,19175.648
5.0,59.90805,12.817928,19132.123
6.0,59.906742,12.814859,19078.295
7.0,59.911026,12.815726,19051.846
8.0,59.909294,12.805348,19002.557
9.0,59.91256,12.798294,19010.773
10.0,59.91507,12.793539,18941.393
11.0,59.916077,12.790853,18938.336
12.0,59.921112,12.7878065,18921.102
13.0,59.920074,12.784807,18840.14
14.0,59.9165,12.769608,18822.576
15.0,59.920452,12.771913,18792.541
16.0,59.918045,12.765189,18750.97
17.0,59.924,12.756001,18740.303
18.0,59.925995,12.751029,18703.9
19.0,59.923473,12.752201,18668.537
20.0,59.927395,12.745081,18613.736
21.0,59.927773,12.741242,18582.701
22.0,59.92923,12.729026,18541.096
23.0,59.928265,12.730956,18565.928
24.0,59.92881,12.719304,18500.166
25.0,59.933823,12.722212,18467.758
26.0,59.936832,12.713677,18446.242
27.0,59.933483,12.7052765,18387.604
28.0,59.934586,12.703205,18417.217
29.0,59.937794,12.69947,18371.547
30.0,59.93471,12.693218,18330.818
31.0,59.940643,12.68212,18274.229
32.0,59.93986,12.684572,18238.195
33.0,59.940998,12.678885,18229.191
34.0,59.940647,12.67164,18142.865
35.0,59.942028,12.670224,18173.389
36.0,59.941372,12.662888,18116.26
37.0,59.945087,12.651897,18101.262
38.0,59.944466,12.649943,18104.826
39.0,59.94777,12.64504,18027.082
40.0,59.952705,12.638106,18002.346
41.0,59.947052,12.641722,17963.86
42.0,59.944313,12.631304,17912.482
43.0,59.950584,12.621816,17923.61
44.0,59.952347,12.617588,17841.453
45.0,59.951492,12.609314,17846.588
46.0,59.956524,12.61522,17867.361
47.0,59.95648,12.605183,17772.113
48.0,59.961975,12.60145,17789.729
49.0,59.958145,12.596502,17725.049
50.0,59.958763,12.588057,17704.8
51.0,59.962265,12.581665,17678.734
52.0,59.96392,12.576912,17635.484
53.0,59.962337,12.571851,17627.744
54.0,59.96639,12.570971,17594.625
55.0,59.965996,12.565492,17555.088
56.0,59.969563,12.561041,17540.277
57.0,59.971462,12.555982,17523.348
58.0,59.972572,12.549198,17485.068
59.0,59.974716,12.544777,17458.814
60.0,59.97461,12.539634,17392.814
61.0,59.977524,12.535986,17410.11
62.0,59.976555,12.532548,17340.338
63.0,59.977615,12.526074,17354.625
64.0,59.980827,12.523905,17315.27
65.0,59.979984,12.519583,17305.324
66.0,59.98478,12.51434,17265.908
67.0,59.98558,12.506485,17268.863
68.0,59.985313,12.502089,17215.42
69.0,59.9896,12.500885,17226.938
70.0,59.98885,12.492953,17138.336
71.0,59.99158,12.49235,17162.674
72.0,59.99376,12.486593,17118.967
73.0,59.993755,12.483314,17081.041
74.0,59.994778,12.477736,17064.13
75.0,59.996178,12.476838,17059.137
76.0,59.99633,12.471582,17045.43
77.0,60.000343,12.465013,16986.72
78.0,60.000404,12.458831,16968.559
79.0,59.999786,12.45713,16963.998
80.0,60.0026,12.449629,16967.715
81.0,60.002663,12.44695,16910.818
82.0,60.00246,12.439094,16908.928
83.0,60.005527,12.436557,16835.56
84.0,60.007935,12.427414,16846.861
85.0,60.009987,12.423198,16789.098
86.0,60.01421,12.420888,16811.469
87.0,60.01186,12.419924,16782.17
88.0,60.011955,12.415759,16727.613
89.0,60.01468,12.409442,16717.926
90.0,60.01775,12.40456,16718.855
91.0,60.019375,12.394607,16641.725
92.0,60.02272,12.392294,16644.557
93.0,60.021828,12.388457,16599.79
94.0,60.026077,12.382874,16570.865
